"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",142.584407768878,142.588138401367,142.599342694072,142.624865165083,142.676814848939,142.776164583938,142.958206892045,143.278586391038,143.814824841056,144.6546380629,145.864364481904,147.442320611522,149.278095837395,151.145811711762,152.74544806382,153.776884423022,154.009620186266,153.317130439386,151.672208265139,149.121853101877,145.760769761358
"2",143.461320137581,143.472512016507,143.497907866961,143.549095592996,143.645269405121,143.817385880859,144.113405996104,144.601278095101,145.361747724903,146.462212815292,147.91221518995,149.619067613323,151.373733863344,152.886045539947,153.857267809878,154.052407472311,153.338357142938,151.681933131321,149.125813937673,145.76199902481,0
"3",144.513433244533,144.538801335324,144.589738489579,144.684519754539,144.851196004609,145.131194828367,145.581954331032,146.272844378197,147.265516865194,148.57525950624,150.126657752165,151.732617367975,153.120488957322,153.999303958914,154.132625751063,153.380760740183,151.702903079369,149.135410788775,145.76590674035,0,0
"4",145.692684850113,145.743569356556,145.837911737948,146.002301888873,146.273885101087,146.701251344023,147.340973441643,148.243052415304,149.420179743669,150.808265066738,152.242377987734,153.473372421092,154.225985015437,154.26838663969,153.456932112481,151.743046940997,149.155242971754,145.774980789513,0,0,0
"5",146.856132372344,146.950392215946,147.114137470652,147.382555351451,147.798923074032,148.409776767278,149.252225212449,150.329592371751,151.579468614562,152.851991454244,153.920720493659,154.530929018342,154.462188926772,153.572288289677,151.807587287388,149.189224305689,145.79176485862,0,0,0,0
"6",147.736297498175,147.899951503423,148.16769756734,148.58095282314,149.18159469394,149.99873091078,151.026693663506,152.198346444039,153.367980583809,154.321911079432,154.821297713058,154.658201775271,153.696152982301,151.881120750838,149.230328209968,145.813402175117,0,0,0,0,0
"7",147.974129002013,148.241862055454,148.65502689672,149.255273241089,150.071183959817,151.096276399919,152.262627087491,153.424291014222,154.368217107441,154.856872799745,154.683726683754,153.713294518657,151.891926608385,149.236737828012,145.81698435344,0,0,0,0,0,0
"8",147.221825749934,147.635251113717,148.237206976532,149.060180052222,150.105948954518,151.318132360291,152.560175730769,153.619409485714,154.247206894281,154.218854852641,153.381280915603,151.669447630115,149.096597116924,145.733872991744,0,0,0,0,0,0,0
"9",145.26385500778,145.866658410715,146.694883518836,147.761154254649,149.030144692342,150.391738928807,151.651056832976,152.554787355764,152.849470461646,152.34123686914,150.928079764656,148.600157822421,145.421213697979,0,0,0,0,0,0,0,0
"10",142.085212747204,142.915248954408,143.992124399648,145.30029325628,146.764951623934,148.231259235805,149.468022305274,150.208284273992,150.211111117154,149.312928134327,147.449539596803,144.650841171795,0,0,0,0,0,0,0,0,0
"11",137.854213130681,138.93419002047,140.259546009103,141.784488477898,143.40213618658,144.931094525563,146.127454184278,146.72813827683,146.507695369725,145.32359210897,143.136528569242,0,0,0,0,0,0,0,0,0,0
"12",132.8425801651,134.172489322448,135.721387243786,137.419220174076,139.141697472446,140.700541645684,141.855565300744,142.353302694947,141.978994350409,140.60209414235,0,0,0,0,0,0,0,0,0,0,0
"13",127.332705320407,128.887550635589,130.615244810988,132.43381158758,134.217639839739,135.78553931448,136.907333124781,137.337212351478,136.865434758497,0,0,0,0,0,0,0,0,0,0,0,0
"14",121.55210511192,123.286899243699,125.139736080106,127.030550972697,128.843868907019,130.410798877964,131.509904665655,131.898952676248,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",115.648840787488,117.509599549494,119.437511264067,121.364291899523,123.188467959684,124.751672414264,125.837185137082,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",109.699948329979,111.636285955279,113.601723268295,115.542757456283,117.369492162701,118.929575145942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",103.735703706587,105.709830447468,107.690266506087,109.635476325111,111.46224958704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",97.7639932098434,99.753235146531,101.738161762463,103.684139622478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",91.7861624216812,93.7799385315884,95.7657572318015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",85.8034413306725,87.7981240175152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",79.8176606708886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
